CoC Number,County,HPI,SummerTemperature,Median_House_Values_5_year,Median_House_Values_1_year,Overall Homeless,Unsheltered Homeless,Median_Gross_Rent_5_year,Median_Gross_Rent_1_year,Overall Homeless - Multiple Races,Sheltered Total Homeless,Overall Homeless - Native Hawaiian or Other Pacific Islander,Median_Rent_1_year,Overall Homeless - Age 18 to 24,Median_Rent_5_year,SSDI Participation Rate (Percent),Estimate Total  85 years and over,Overall Homeless - American Indian or Alaska Native,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,JanuaryPrecipitation,Estimate Total Two or more races,Estimate Total Asian alone,Overall Homeless - Asian,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Estimate Total  62 to 64 years,Estimate Total Black or African American alone,Estimate Total  60 and 61 years,total_homeless_per_10k
NC-513,orange county,599.71,76.9,272600,278200.0,129,20,1083.0,1069.0,11,109,0,810.0,0,796,2.631751953517868,0.010965378,1,0.0,0.03,1.5,0.02,0.08,0,1073690.0,0.037098349,0.12,0.031721777,5.641908093
NC-513,orange county,617.66,77.9,281700,304000.0,80,15,1111.0,1155.0,1,65,0,923.0,4,838,2.631751953517868,0.017320658,0,0.0,0.01,3.87,0.04,0.08,0,1073690.0,0.03775847,0.11,0.021446303,8.761883736012033
NC-513,orange county,649.36,76.1,283000,279700.0,127,37,1144.0,1138.0,9,90,0,953.0,6,881,2.631751953517868,0.010031322,0,0.0,0.02,3.96,0.02,0.08,1,1073690.0,0.032508658,0.12,0.027244629,10.40903394577715
NC-513,orange county,682.05,77.0,292500,327300.0,152,39,1171.0,1165.0,12,113,0,940.0,6,928,2.631751953517868,0.006656303,2,0.0,0.02,4.19,0.03,0.08,0,1073690.0,0.038424401,0.11,0.019297801,8.822974756863061
NV-500,clark county,338.35,84.9,257300,170100.0,9949,2945,1053.5,1164.0,0,7004,0,842.0,0,882,2.631751953517868,0.009573956,0,0.01,0.08,0.09,0.04,0.09,0,1073690.0,0.031858095,0.1,0.023320336,40.62488102640896
NV-500,clark county,295.12,83.6,226200,153800.0,8003,4241,1247.0,1093.0,0,3762,0,818.0,0,888,2.631751953517868,0.012020457,0,0.01,0.08,0.19,0.04,0.09,0,1073690.0,0.031720199,0.11,0.022252567,36.60110988
NV-500,clark county,297.01,84.9,186700,145200.0,7323,4241,1206.0,1062.0,0,3082,0,825.0,0,879,2.680462650577405,0.01125073,0,0.01,0.1,0.61,0.05,0.09,0,1541898.0,0.030517918,0.11,0.02158031,29.35102284764097
NV-500,clark county,350.18,85.4,165000,162300.0,5952,3032,1155.0,1037.0,0,2920,0,841.0,0,865,2.720715199385606,0.013171469,0,0.01,0.12,0.04,0.04,0.09,0,1572932.0,0.031395041,0.11,0.021868287,35.96206371899824
NV-500,clark county,422.42,84.0,163100,188700.0,7443,3494,1112.0,1021.0,0,3949,0,833.0,1121,854,2.7305325672474035,0.011782492,0,0.01,0.11,1.03,0.05,0.09,0,1609393.0,0.031840172,0.11,0.022969723,35.50688693640678
NV-500,clark county,458.28,85.0,170400,217300.0,7509,3916,1076.0,1052.0,351,3593,67,855.0,1475,848,2.7359116048959566,0.011667764,136,0.01,0.1,1.35,0.05,0.1,225,1645521.0,0.033096731,0.11,0.023697265,28.798551165673317
NV-500,clark county,494.92,86.4,186700,233700.0,6208,3731,1073.0,1076.0,335,2477,118,883.0,1279,860,2.7146573072002007,0.0124319,122,0.01,0.1,2.18,0.05,0.1,179,1682717.0,0.033042719,0.11,0.023724477,29.445405541271437
NV-500,clark county,546.99,86.3,212300,250000.0,6490,4353,1094.0,1117.0,351,2137,59,927.0,1817,883,2.6713618050146914,0.01286433,176,0.01,0.13,1.93,0.05,0.1,174,1721781.0,0.03293303,0.12,0.023157065,27.25789517786639
NV-500,clark county,630.01,86.8,238300,286600.0,6083,3884,1128.0,1165.0,295,2199,93,975.0,1123,923,2.620846319250912,0.013898704,126,0.01,0.13,1.77,0.06,0.1,148,1746764.0,0.034159524,0.12,0.02280289,24.39653860322096
NV-501,washoe county,446.3,66.8,295700,215700.0,934,239,1053.5,1120.0,0,695,0,754.0,0,779,2.631751953517868,0.013629866,0,0.0,0.03,0.44,0.04,0.05,0,1073690.0,0.040958232,0.03,0.02561487,19.966643959502942
NV-501,washoe county,397.21,66.1,257400,177400.0,850,175,1198.0,1038.0,0,675,0,751.0,0,790,2.631751953517868,0.014542764,0,0.01,0.08,1.63,0.03,0.05,0,1073690.0,0.036348688,0.03,0.03032346,20.21362710161244
NV-501,washoe county,387.49,68.7,226800,176500.0,869,164,1153.0,1011.0,0,705,0,764.0,0,790,2.631751953517868,0.015028797,0,0.01,0.05,0.63,0.03,0.05,0,1073690.0,0.034940034,0.02,0.024247048,17.199600674150567
NV-501,washoe county,451.3,69.6,203300,201700.0,746,89,1098.0,959.0,0,657,0,746.0,0,783,2.631751953517868,0.015998395,0,0.01,0.05,0.48,0.04,0.05,0,1073690.0,0.03985189,0.02,0.025448953,17.474175032607857
NV-501,washoe county,537.48,69.6,201100,233300.0,769,97,1060.0,989.0,0,672,0,772.0,65,778,2.631751953517868,0.014874636,0,0.01,0.05,0.18,0.04,0.05,0,1073690.0,0.037618331,0.02,0.027581474,20.295231851207085
NV-501,washoe county,605.36,69.7,213100,268400.0,907,113,1029.0,1036.0,58,794,4,798.0,80,775,2.631751953517868,0.015721532,31,0.01,0.07,2.5,0.05,0.05,10,1073690.0,0.036931952,0.02,0.025618535,21.802581919509013
NV-501,washoe county,677.98,69.3,236900,299100.0,989,120,1033.0,1057.0,49,869,13,851.0,126,799,2.631751953517868,0.013656926,28,0.01,0.07,5.3,0.04,0.06,10,1073690.0,0.039079309,0.02,0.029282477,24.01283579432333
NV-501,washoe county,742.41,70.8,268100,331200.0,1106,80,1060.0,1085.0,62,1026,15,877.0,102,830,2.631751953517868,0.015643082,39,0.01,0.07,1.16,0.05,0.05,6,1073690.0,0.03454939,0.02,0.022547315,25.59395364316618
NV-501,washoe county,822.85,69.9,299400,363000.0,1192,184,1116.0,1175.0,15,1008,15,993.0,89,880,2.631751953517868,0.015429375,41,0.01,0.1,2.52,0.04,0.05,12,1073690.0,0.045236025,0.03,0.02595038,26.637314721145916
OH-503,franklin county,388.3,74.8,155300,155000.0,1387,134,1053.5,924.0,0,1253,0,619.0,0,616,2.631751953517868,0.014020964,0,0.0,0.02,1.19,0.03,0.04,0,1073690.0,0.026030601,0.21,0.021347512,12.02919242381441
OH-503,franklin county,375.84,74.5,155200,150400.0,1418,144,971.0,936.0,0,1274,0,634.0,0,635,2.631751953517868,0.013549384,0,0.0,0.02,2.98,0.03,0.04,0,1073690.0,0.03144302,0.21,0.017611145,11.994609953518797
OH-503,franklin county,371.04,74.5,153600,147500.0,1434,182,974.0,931.0,0,1252,0,645.0,0,647,3.188006944705737,0.013875773,0,0.0,0.02,2.02,0.03,0.04,0,930205.0,0.029290603,0.21,0.020420112,12.274564182854707
OH-503,franklin county,379.8,72.2,150800,146300.0,1488,244,971.0,940.0,0,1244,0,661.0,0,658,3.210556249748928,0.015358878,0,0.0,0.02,2.01,0.04,0.04,0,945942.0,0.027792649,0.21,0.022582558,13.107107154255385
OH-503,franklin county,400.95,71.3,150000,153000.0,1614,233,975.0,973.0,0,1381,0,690.0,184,672,3.184693486,0.014211547,0,0.0,0.01,2.55,0.04,0.04,0,960689.0,0.030991731,0.21,0.021018473,13.749059295913948
OH-503,franklin county,421.67,71.4,150600,158400.0,1721,198,973.0,987.0,73,1523,3,714.0,202,681,3.129433023,0.014870714,14,0.0,0.02,1.04,0.04,0.05,14,978452.0,0.031872892,0.22,0.022591278,13.633653297145631
OH-503,franklin county,449.23,75.2,153100,162300.0,1724,339,983.0,987.0,126,1385,1,735.0,175,700,3.039547496849188,0.01449406,10,0.0,0.01,2.86,0.04,0.05,10,988634.0,0.030489088,0.22,0.022214789,13.088427770996631
OH-503,franklin county,481.25,72.0,158400,172600.0,1691,340,1014.0,1025.0,125,1351,8,764.0,186,730,2.9125465291042203,0.014470027,9,0.0,0.02,2.06,0.04,0.05,6,1012001.0,0.031456345,0.23,0.02387032,13.790734946195528
OH-503,franklin county,517.71,74.1,165800,186500.0,1807,288,1048.0,1045.0,90,1519,1,802.0,177,762,2.781486749999757,0.013874685,10,0.0,0.02,2.69,0.04,0.06,9,1031283.0,0.032295657,0.23,0.023934214,14.482561689485372
OK-501,tulsa county,360.07,82.5,126200,135000.0,905,23,1053.5,820.0,0,882,0,564.0,0,545,2.631751953517868,0.018559078,0,0.0,0.03,0.5,0.06,0.02,0,1073690.0,0.027917901,0.11,0.022272215,14.395699960203013
OK-501,tulsa county,350.01,86.1,129900,133300.0,879,50,844.0,828.0,0,829,0,575.0,0,566,2.631751953517868,0.0170865,0,0.0,0.03,0.75,0.07,0.02,0,1073690.0,0.031871981,0.11,0.022155293,16.633649171738764
OK-501,tulsa county,351.01,82.6,133300,135400.0,1021,145,857.0,842.0,0,876,0,592.0,0,582,3.635284675023054,0.018011912,0,0.0,0.03,1.87,0.08,0.03,0,468464.0,0.031162433,0.1,0.02230473,16.195138566441038
OK-501,tulsa county,354.67,79.0,134100,136100.0,1008,122,857.0,836.0,0,886,0,608.0,0,599,3.689726581799451,0.017472434,0,0.0,0.03,0.15,0.09,0.03,0,475645.0,0.031683346,0.1,0.023230705,16.04198234428953
OK-501,tulsa county,365.57,78.3,136100,140000.0,1010,102,866.0,865.0,0,908,0,630.0,103,608,3.6740362552106975,0.017743068,0,0.0,0.04,0.61,0.08,0.03,0,480262.0,0.030876845,0.1,0.026254848,14.955212579899316
OK-501,tulsa county,379.89,79.9,138500,147900.0,956,131,865.0,876.0,48,825,2,650.0,102,619,3.624114156529844,0.0189975,114,0.0,0.04,0.53,0.08,0.03,1,489223.0,0.031298006,0.1,0.025334693,16.222353563318507
OK-501,tulsa county,390.72,82.2,141700,150100.0,1043,150,872.0,864.0,41,893,0,659.0,101,634,3.564322596,0.015412014,149,0.0,0.04,2.89,0.08,0.03,8,491538.0,0.033119731,0.1,0.023905808,16.618544066994087
OK-501,tulsa county,406.85,79.1,145800,155600.0,1074,174,888.0,887.0,84,900,11,688.0,114,656,3.510841023939668,0.017313304,125,0.0,0.04,0.3,0.07,0.04,2,494326.0,0.03368582,0.1,0.024039637,16.703683138996855
OK-501,tulsa county,421.35,80.9,150500,160800.0,1083,226,912.0,909.0,102,857,10,698.0,132,681,3.4703275417355464,0.016927324,119,0.0,0.02,3.99,0.08,0.03,6,496639.0,0.033100438,0.1,0.025171201,18.233387358184764
OR-501,multnomah county,851.28,62.3,281600,275300.0,4235,1591,1053.5,1076.0,0,2644,0,737.0,0,723,2.631751953517868,0.01932777,0,0.01,0.04,8.16,0.04,0.07,0,1073690.0,0.032082851,0.06,0.023616957,60.11782934129736
OR-501,multnomah county,801.46,62.1,281900,257400.0,4497,1714,1106.0,1070.0,0,2783,0,766.0,0,752,2.631751953517868,0.016862937,0,0.01,0.04,11.57,0.04,0.07,0,1073690.0,0.031798147,0.06,0.025694122,58.254396409116296
OR-501,multnomah county,803.81,63.2,276900,255600.0,4423,1714,1129.0,1118.0,0,2709,0,783.0,0,773,2.970839568178539,0.017514514,0,0.01,0.03,6.65,0.04,0.07,0,616829.0,0.034012244,0.06,0.023019904,57.966285315251234
OR-501,multnomah county,867.26,65.4,271600,274700.0,4441,1895,1144.0,1144.0,0,2546,0,835.0,0,799,2.973948436568884,0.016961763,0,0.01,0.03,5.89,0.05,0.07,0,622573.0,0.03348235,0.06,0.025845314,50.55928066001297
OR-501,multnomah county,962.65,65.9,270200,290400.0,3927,1895,1153.0,1166.0,0,2032,0,874.0,325,820,2.917650559315274,0.017104152,0,0.01,0.04,5.55,0.06,0.07,0,631844.0,0.037219716,0.05,0.023905901,48.09602502359881
OR-501,multnomah county,1055.91,68.4,278300,321700.0,3801,1887,1165.0,1207.0,256,1914,56,907.0,315,847,2.8470516493398152,0.016622928,214,0.01,0.02,9.83,0.05,0.07,38,646107.0,0.038033947,0.05,0.024655381,48.93931474956425
OR-501,multnomah county,1202.22,64.9,297300,367700.0,3914,1887,1217.0,1307.0,380,2027,73,1012.0,334,895,2.7222857142857144,0.015602064,206,0.01,0.02,5.15,0.05,0.07,32,656250.0,0.039442787,0.06,0.022999227,51.72403118053879
OR-501,multnomah county,1290.19,66.5,330900,393900.0,4177,1668,1272.0,1339.0,374,2509,71,1075.0,340,957,2.599451385672263,0.015643517,234,0.01,0.03,9.16,0.05,0.07,27,664948.0,0.035627295,0.05,0.022176818,49.50238951569197
OR-501,multnomah county,1337.89,66.3,361300,422900.0,4019,1668,1339.0,1404.0,361,2351,66,1154.0,334,1039,2.473288188854073,0.014339558,223,0.01,0.01,5.06,0.05,0.08,44,669554.0,0.03199734,0.06,0.020860226,49.39380332285587
TN-501,shelby county,319.62,83.5,135300,136800.0,1657,163,1053.5,960.0,0,1494,0,604.0,0,593,2.631751953517868,0.012766003,0,0.0,0.03,2.56,0.01,0.02,0,1073690.0,0.026603016,0.52,0.020703314,20.768098831339938
TN-501,shelby county,304.7,82.9,136200,131700.0,1942,184,968.0,937.0,0,1758,0,615.0,0,614,2.631751953517868,0.013255437,0,0.0,0.03,2.39,0.02,0.02,0,1073690.0,0.032675,0.52,0.02354003,22.06717093766343
TN-501,shelby county,299.75,80.7,135500,129400.0,2076,326,977.0,938.0,0,1750,0,625.0,0,622,3.8058559156770513,0.013013891,0,0.0,0.02,9.5,0.02,0.02,0,715345.0,0.029339983,0.52,0.026338168,19.330150670860544
TN-501,shelby county,302.94,78.6,132700,123000.0,1816,156,971.0,919.0,0,1660,0,642.0,0,632,3.872934691579676,0.013316089,0,0.0,0.03,2.93,0.02,0.02,0,714058.0,0.033867148,0.53,0.024370253,17.841868847883955
TN-501,shelby county,315.57,78.3,131700,130700.0,1675,121,973.0,936.0,0,1554,0,649.0,105,644,3.9153554778554778,0.015595391,0,0.0,0.03,1.43,0.02,0.02,0,713856.0,0.032033345,0.53,0.024411937,16.256799872930458
TN-501,shelby county,327.47,80.1,130800,135800.0,1525,78,953.0,931.0,7,1447,3,656.0,164,645,3.8820744686804014,0.014146081,0,0.0,0.03,2.56,0.02,0.03,0,714824.0,0.031638398,0.53,0.025468276,17.857849803606452
TN-501,shelby county,341.05,81.8,132200,141200.0,1669,121,954.0,940.0,7,1548,3,680.0,105,659,3.853806167771224,0.01547395,4,0.0,0.03,4.01,0.02,0.02,1,713710.0,0.034537659,0.53,0.025153996,15.219416816708486
TN-501,shelby county,362.47,78.8,135700,148600.0,1426,79,960.0,940.0,41,1347,1,700.0,62,678,3.786207089187453,0.01371135,3,0.0,0.03,4.04,0.02,0.03,5,716020.0,0.037618428,0.54,0.025242246,13.101593991647466
TN-501,shelby county,385.66,80.7,142300,157700.0,1226,102,980.0,958.0,40,1124,1,694.0,67,697,3.6812352357340825,0.015990143,3,0.0,0.02,5.4,0.02,0.03,1,718373.0,0.041022095,0.54,0.02746419,14.138370363414806
TX-500,bexar county,386.96,84.1,117100,125300.0,3291,1617,1053.5,870.0,0,1674,0,655.0,0,628,2.631751953517868,0.014587128,0,0.0,0.11,2.46,0.03,0.02,0,1073690.0,0.026535289,0.07,0.019397487,18.34692079790314
TX-500,bexar county,385.29,87.3,121200,122300.0,3222,1176,889.0,880.0,0,2046,0,674.0,0,657,2.631751953517868,0.014137151,0,0.0,0.11,3.24,0.03,0.02,0,1073690.0,0.028560154,0.07,0.020893965,20.552118380201872
TX-500,bexar county,388.21,84.7,122600,123000.0,3670,1627,905.0,892.0,0,2043,0,683.0,0,671,3.663991383243701,0.013203756,0,0.0,0.12,2.98,0.03,0.03,0,1336930.0,0.028272883,0.07,0.020237397,16.395156276649004
TX-500,bexar county,397.46,83.8,123700,126500.0,2980,1243,914.0,897.0,0,1737,0,713.0,0,693,3.667278736687477,0.013380208,0,0.0,0.07,0.17,0.03,0.03,0,1361500.0,0.028646959,0.07,0.021052921,15.583021619017751
TX-500,bexar county,421.25,84.3,126100,133500.0,2892,922,928.0,932.0,0,1970,0,741.0,195,714,3.573567449335265,0.013856604,0,0.0,0.06,2.98,0.03,0.03,0,1392586.0,0.028576955,0.08,0.019264322,15.233805453080564
TX-500,bexar county,450.74,83.7,129400,142100.0,2891,1158,930.0,948.0,84,1733,19,771.0,179,727,3.485854806843499,0.013103918,49,0.0,0.05,1.48,0.03,0.03,10,1427340.0,0.02651188,0.08,0.020833586,14.41918825310575
TX-500,bexar county,483.9,83.9,134400,150200.0,2781,1137,949.0,971.0,75,1644,13,795.0,163,751,3.3875184800339886,0.013019786,34,0.0,0.07,2.05,0.03,0.03,17,1452243.0,0.028852894,0.08,0.01998569,14.005058772231692
TX-500,bexar county,518.38,84.2,142300,160100.0,2743,1102,978.0,984.0,23,1641,7,807.0,161,786,3.295501596416893,0.015051226,67,0.0,0.07,0.34,0.03,0.03,15,1480503.0,0.029716458,0.08,0.019592786,15.43768557573353
TX-500,bexar county,547.28,85.9,152400,169700.0,3066,1353,1013.0,1024.0,27,1713,10,848.0,201,819,3.185311280174713,0.01296544,34,0.0,0.04,1.67,0.03,0.03,17,1507388.0,0.028707247,0.08,0.021904293,14.334527544553328
TX-600,dallas county,402.85,86.2,129700,129300.0,3710,201,1053.5,969.0,0,3509,0,684.0,0,677,2.631751953517868,0.010841899,0,0.0,0.13,1.88,0.02,0.05,0,1073690.0,0.024264822,0.22,0.018654376,14.652232975471168
TX-600,dallas county,393.52,89.6,129300,125000.0,3540,243,993.0,957.0,0,3297,0,698.0,0,700,2.631751953517868,0.011084373,0,0.0,0.13,6.14,0.03,0.05,0,1073690.0,0.025198943,0.22,0.019959735,14.047353477789736
TX-600,dallas county,395.24,85.1,129100,128900.0,3447,205,995.0,944.0,0,3242,0,718.0,0,711,2.748821484795282,0.011792523,0,0.0,0.11,3.76,0.02,0.05,0,1830057.0,0.027298813,0.22,0.018849617,12.752330233343857
TX-600,dallas county,416.12,84.1,128300,127200.0,3163,251,993.0,953.0,0,2912,0,737.0,0,728,2.7416939551791235,0.010933218,0,0.0,0.1,0.32,0.03,0.06,0,1855787.0,0.025099473,0.22,0.01995903,13.951985160233429
TX-600,dallas county,455.17,82.5,129200,135500.0,3514,242,995.0,983.0,0,3272,0,758.0,224,740,2.684697567615878,0.011401003,0,0.0,0.07,3.96,0.03,0.06,0,1890902.0,0.026752951,0.22,0.020862863,12.301317662632156
TX-600,dallas county,497.88,84.4,132700,145800.0,3141,363,992.0,1022.0,94,2778,10,799.0,246,750,2.6165838086137967,0.011635926,34,0.0,0.06,1.17,0.02,0.06,32,1918341.0,0.02752738,0.22,0.020793182,14.796208442460223
TX-600,dallas county,546.52,84.1,138600,154300.0,3810,739,1007.0,1027.0,152,3071,26,844.0,208,783,2.5305415070150485,0.011718908,34,0.0,0.06,3.05,0.03,0.06,41,1939901.0,0.026592398,0.23,0.022806355,14.47206193079994
TX-600,dallas county,598.24,82.6,148300,175000.0,3789,1087,1051.0,1091.0,156,2702,10,895.0,239,826,2.426303980722765,0.011538309,29,0.0,0.06,0.55,0.03,0.06,40,1982027.0,0.027639767,0.23,0.021895248,15.623033378169152
TX-600,dallas county,637.74,86.4,161500,196300.0,4121,1341,1101.0,1154.0,65,2780,16,968.0,268,882,2.2997334184532288,0.011913084,45,0.0,0.07,1.88,0.02,0.06,48,2005015.0,0.028870577,0.23,0.023194575,17.21863953776035
TX-601,tarrant county,359.89,86.2,134900,137100.0,2181,195,1053.5,1028.0,0,1986,0,667.0,0,650,2.631751953517868,0.011152263,0,0.0,0.09,1.58,0.02,0.05,0,1073690.0,0.026002691,0.15,0.020002113,11.725496874011728
TX-601,tarrant county,352.01,89.9,136100,133700.0,2169,136,1061.0,1012.0,0,2033,0,679.0,0,676,2.631751953517868,0.010886494,0,0.0,0.04,5.79,0.03,0.05,0,1073690.0,0.028297424,0.15,0.02023824,11.291634244659877
TX-601,tarrant county,354.49,85.0,136300,135000.0,2123,136,1062.0,989.0,0,1987,0,702.0,0,690,2.522587831239339,0.011686283,0,0.0,0.05,3.65,0.02,0.05,0,1398762.0,0.029206134,0.15,0.020980207,12.503001505068424
TX-601,tarrant county,367.37,83.8,136400,138800.0,2390,281,1056.0,1007.0,0,2109,0,726.0,0,710,2.5045629689718107,0.011624129,0,0.0,0.07,0.17,0.03,0.05,0,1429990.0,0.024653931,0.15,0.020270557,12.465559073898918
TX-601,tarrant county,396.41,82.8,137700,145200.0,2425,184,1059.0,1054.0,0,2241,0,756.0,156,727,2.4764297201716645,0.010296295,0,0.0,0.05,3.58,0.03,0.05,0,1459359.0,0.02601575,0.16,0.019951577,9.654486410578976
TX-601,tarrant county,427.82,84.5,141000,153200.0,1914,217,1053.0,1075.0,80,1697,8,804.0,83,743,2.404828139502801,0.011569242,13,0.0,0.06,0.81,0.03,0.05,26,1493246.0,0.028858541,0.16,0.023201032,9.608938990674668
TX-601,tarrant county,468.02,84.1,148100,168500.0,1938,423,1069.0,1088.0,63,1515,8,822.0,95,774,2.3541790698941423,0.011165309,7,0.0,0.07,3.22,0.03,0.05,21,1523461.0,0.030743151,0.16,0.021989001,9.447669112547002
TX-601,tarrant county,517.54,82.6,158200,186200.0,1941,390,1107.0,1134.0,25,1551,8,885.0,104,815,2.286206777054891,0.012698621,23,0.0,0.08,0.28,0.03,0.05,14,1558258.0,0.030042712,0.17,0.024088879,9.66458842043214
TX-601,tarrant county,558.48,86.0,170300,210000.0,2015,678,1151.0,1179.0,17,1337,6,942.0,104,868,2.1994269116675054,0.012950069,27,0.0,0.08,1.37,0.03,0.06,23,1584049.0,0.030483982,0.17,0.024056432,9.645591113499783
VA-600,arlington county,1069.04,78.6,571700,587800.0,535,223,1053.5,1809.0,0,312,0,1519.0,0,1448,2.631751953517868,0.011104905,0,0.0,0.07,2.06,0.04,0.09,0,1073690.0,0.026630764,0.08,0.017726789,21.34219736671543
VA-600,arlington county,1084.14,78.0,575600,578100.0,461,137,1845.0,1845.0,0,324,0,1621.0,0,1533,2.631751953517868,0.012462732,0,0.0,0.08,2.33,0.03,0.1,0,1073690.0,0.01948575,0.08,0.01979593,20.40308534461309
VA-600,arlington county,1105.72,77.3,577300,580400.0,451,131,1881.0,1857.0,0,320,0,1654.0,0,1601,2.631751953517868,0.011626592,0,0.0,0.06,2.92,0.02,0.1,0,1073690.0,0.031237983,0.09,0.020945961,21.297786630859115
VA-600,arlington county,1156.42,75.6,584600,598200.0,479,146,1918.0,1945.0,0,333,0,1758.0,0,1659,2.631751953517868,0.014010298,0,0.0,0.07,2.59,0.03,0.09,0,1073690.0,0.029474536,0.09,0.014806186,12.824580887408114
VA-600,arlington county,1219.54,74.8,594800,604600.0,291,51,1955.0,1994.0,0,240,0,1818.0,18,1725,2.631751953517868,0.012868652,0,0.0,0.05,3.45,0.03,0.1,0,1073690.0,0.026698045,0.08,0.021096656,10.429212267197292
VA-600,arlington county,1249.43,76.0,607700,655000.0,239,39,1962.0,1958.0,8,200,0,1788.0,14,1754,2.631751953517868,0.011781955,2,0.0,0.05,2.73,0.03,0.11,7,1073690.0,0.029878166,0.09,0.016699831,7.563573136274723
VA-600,arlington county,1282.98,78.0,623300,678100.0,174,19,1993.0,1985.0,7,155,1,1801.0,14,1787,2.631751953517868,0.014249076,1,0.0,0.06,2.81,0.04,0.1,4,1073690.0,0.02735927,0.09,0.017591828,9.873810993126636
VA-600,arlington county,1301.36,75.9,643300,735100.0,232,33,2037.0,2016.0,25,199,0,1822.0,18,1827,2.631751953517868,0.008052263,0,0.0,0.05,1.08,0.03,0.11,8,1073690.0,0.02250548,0.1,0.018564467,9.304440449476049
VA-600,arlington county,1354.89,76.4,669400,707000.0,221,35,2085.0,2076.0,12,186,1,1865.0,10,1863,2.631751953517868,0.013784044,3,0.0,0.06,3.72,0.05,0.1,7,1073690.0,0.03089411,0.09,0.020516081,9.077781812347473
WA-500,king county,1022.92,58.3,407700,385600.0,9022,2800,1053.5,1364.0,0,6222,0,929.0,0,899,2.631751953517868,0.018471476,0,0.01,0.03,13.98,0.05,0.15,0,1073690.0,0.029749309,0.06,0.021896725,45.54957502
WA-500,king county,958.93,57.4,402300,364300.0,8972,2492,1425.0,1387.0,0,6480,0,948.0,0,943,2.631751953517868,0.017455763,0,0.01,0.03,10.62,0.05,0.15,0,1073690.0,0.032524894,0.06,0.024430859,44.33009205754593
WA-500,king county,950.99,58.7,388700,353800.0,8899,2618,1445.0,1395.0,0,6281,0,978.0,0,976,2.106909661725495,0.016827402,0,0.01,0.03,8.13,0.06,0.15,0,1616823.0,0.030461683,0.06,0.023727733,44.54011814430196
WA-500,king county,1020.39,61.2,377300,376200.0,9106,2736,1449.0,1421.0,0,6370,0,1065.0,0,1000,2.088778244112808,0.017996047,0,0.01,0.02,8.71,0.06,0.15,0,1644502.0,0.032420471,0.06,0.025004292,43.02472106528613
WA-500,king county,1128.77,61.8,376200,402700.0,8949,2736,1454.0,1455.0,0,6213,0,1111.0,713,1038,2.049168108706982,0.018141153,0,0.01,0.03,8.87,0.06,0.16,0,1677022.0,0.032964946,0.06,0.023913841,47.81011985593671
WA-500,king county,1220.35,63.9,384300,438100.0,10122,3803,1472.0,1538.0,1105,6319,239,1228.0,1014,1084,1.973238625657528,0.01719171,489,0.01,0.04,10.12,0.06,0.16,291,1714187.0,0.032866741,0.06,0.024187518,49.90767313032275
WA-500,king county,1383.06,60.7,407400,491300.0,10730,4505,1514.0,1610.0,1154,6225,263,1307.0,967,1149,1.8850733878273689,0.017352335,611,0.01,0.05,4.32,0.06,0.17,380,1741842.0,0.035011186,0.06,0.024875696,53.19720064752274
WA-500,king county,1558.77,62.2,446600,563600.0,11643,5485,1593.0,1709.0,1794,6158,259,1412.0,1488,1241,1.7879721104485655,0.017249911,697,0.01,0.05,13.43,0.06,0.17,238,1777153.0,0.035729347,0.06,0.023493032,54.23697240192499
WA-500,king county,1701.55,61.8,493500,635200.0,12112,6320,1689.0,1808.0,1953,5792,318,1552.0,1547,1369,1.6758516315630398,0.017072645,398,0.01,0.04,6.48,0.07,0.18,337,1813108.0,0.032619204,0.07,0.023748826,49.71186737109938
WA-502,spokane county,538.26,62.9,187900,187000.0,1242,172,1053.5,847.0,0,1070,0,611.0,0,599,2.631751953517868,0.018057935,0,0.0,0.01,2.83,0.04,0.02,0,1073690.0,0.034455371,0.02,0.026104158,26.84898081522118
WA-502,spokane county,502.25,62.5,192800,185600.0,1272,138,891.0,874.0,0,1134,0,630.0,0,626,2.631751953517868,0.018948373,0,0.0,0.01,2.29,0.04,0.02,0,1073690.0,0.038624961,0.02,0.02267388,24.908825291391217
WA-502,spokane county,489.11,65.0,190300,174900.0,1185,130,908.0,883.0,0,1055,0,652.0,0,641,2.631751953517868,0.017261711,0,0.0,0.01,1.86,0.04,0.02,0,1073690.0,0.039021724,0.02,0.02578116,21.485279454649373
WA-502,spokane county,493.61,66.3,184700,179300.0,1030,60,902.0,870.0,0,970,0,657.0,0,650,2.631751953517868,0.018145674,0,0.0,0.01,1.46,0.04,0.02,0,1073690.0,0.037910046,0.02,0.027294649,23.724082111340067
WA-502,spokane county,513.24,66.9,182000,182700.0,1149,155,906.0,900.0,0,994,0,698.0,113,668,2.631751953517868,0.021525114,0,0.0,0.01,2.18,0.04,0.02,0,1073690.0,0.033453227,0.02,0.025043463,21.061422358920044
WA-502,spokane county,539.57,69.7,183300,194400.0,1034,132,902.0,906.0,56,902,12,696.0,77,674,2.631751953517868,0.01962949,57,0.01,0.01,3.16,0.05,0.02,10,1073690.0,0.038040921,0.02,0.026538614,19.656482431392664
WA-502,spokane county,579.96,65.3,186500,201300.0,981,172,914.0,917.0,77,809,20,741.0,69,697,2.631751953517868,0.018885051,48,0.01,0.02,1.89,0.04,0.02,4,1073690.0,0.040617386,0.02,0.026082409,21.53503295452749
